true_class,predicted_class,count
Leonberger,Yorkshire Terrier,4
Basset Hound,Japanese Chin,4
Great Pyrenees,American Pit Bull Terrier,4
Bombay,Egyptian Mau,4
Maine Coon,Saint Bernard,4
Shiba Inu,Boxer,4
Miniature Pinscher,Boxer,4
Boxer,Japanese Chin,4
Wheaten Terrier,English Setter,4
Maine Coon,Japanese Chin,4
English Setter,Boxer,4
English Setter,Saint Bernard,4
English Setter,Siamese,4
American Pit Bull Terrier,Wheaten Terrier,4
Basset Hound,Abyssinian,4
Saint Bernard,Siamese,4
Saint Bernard,Staffordshire Bull Terrier,4
Samoyed,Persian,4
Shiba Inu,Japanese Chin,3
Shiba Inu,Maine Coon,3
American Pit Bull Terrier,Great Pyrenees,3
Newfoundland,German Shorthaired,3
Miniature Pinscher,Maine Coon,3
American Pit Bull Terrier,English Cocker Spaniel,3
English Cocker Spaniel,American Pit Bull Terrier,3
American Pit Bull Terrier,Havanese,3
Newfoundland,American Pit Bull Terrier,3
English Cocker Spaniel,German Shorthaired,3
English Cocker Spaniel,Havanese,3
English Cocker Spaniel,Persian,3
English Cocker Spaniel,Ragdoll,3
Wheaten Terrier,Pug,3
Wheaten Terrier,Persian,3
Shiba Inu,Havanese,3
Bombay,Pug,3
Bombay,Havanese,3
Egyptian Mau,Maine Coon,3
Sphynx,Havanese,3
Persian,Pomeranian,3
American Bulldog,Scottish Terrier,3
Persian,Siamese,3
Persian,American Pit Bull Terrier,3
Siamese,Bengal,3
Siamese,British Shorthair,3
Siamese,Boxer,3
Egyptian Mau,Great Pyrenees,3
British Shorthair,Birman,3
Pomeranian,Basset Hound,3
Chihuahua,Pomeranian,3
Chihuahua,Miniature Pinscher,3
Sphynx,Japanese Chin,3
Pug,Basset Hound,3
Abyssinian,British Shorthair,3
Pug,Siamese,3
Ragdoll,Birman,3
Chihuahua,Boxer,3
Chihuahua,British Shorthair,3
Chihuahua,Havanese,3
British Shorthair,Great Pyrenees,3
British Shorthair,Newfoundland,3
Egyptian Mau,Abyssinian,3
Chihuahua,Abyssinian,3
Sphynx,British Shorthair,3
Yorkshire Terrier,Siamese,3
Yorkshire Terrier,Staffordshire Bull Terrier,3
Siamese,Sphynx,3
Siamese,Russian Blue,3
Staffordshire Bull Terrier,American Bulldog,3
Russian Blue,Maine Coon,3
Birman,Samoyed,3
Bombay,German Shorthaired,3
Boxer,Havanese,3
English Setter,Chihuahua,3
English Setter,Abyssinian,3
English Cocker Spaniel,Staffordshire Bull Terrier,3
Basset Hound,Boxer,3
Russian Blue,Basset Hound,3
Shiba Inu,Miniature Pinscher,3
Shiba Inu,Saint Bernard,3
Saint Bernard,Ragdoll,3
Saint Bernard,Havanese,3
Saint Bernard,Chihuahua,3
Leonberger,Samoyed,3
Scottish Terrier,Leonberger,3
Scottish Terrier,Pug,3
Staffordshire Bull Terrier,Russian Blue,3
Birman,Beagle,3
Maine Coon,Basset Hound,3
Leonberger,Havanese,3
Leonberger,Pomeranian,3
Maine Coon,Abyssinian,3
Great Pyrenees,Abyssinian,3
German Shorthaired,Shiba Inu,3
German Shorthaired,Miniature Pinscher,3
German Shorthaired,American Bulldog,3
Leonberger,Staffordshire Bull Terrier,3
Beagle,Pug,3
Beagle,Siamese,3
Basset Hound,Havanese,3
English Setter,Staffordshire Bull Terrier,3
English Cocker Spaniel,Chihuahua,3
Basset Hound,American Bulldog,3
Basset Hound,English Setter,3
Shiba Inu,Bengal,3
Maine Coon,German Shorthaired,3
Basset Hound,English Cocker Spaniel,3
Boxer,American Bulldog,3
Bombay,British Shorthair,3
Keeshond,Chihuahua,3
Beagle,English Setter,3
Leonberger,Abyssinian,3
Japanese Chin,Shiba Inu,3
Samoyed,Sphynx,3
Samoyed,Pug,3
Havanese,Ragdoll,3
Bengal,Egyptian Mau,3
Bengal,Miniature Pinscher,3
Great Pyrenees,German Shorthaired,3
Great Pyrenees,Saint Bernard,3
Keeshond,Saint Bernard,3
Leonberger,Chihuahua,3
Leonberger,Bengal,3
Leonberger,American Pit Bull Terrier,3
Keeshond,Newfoundland,3
Great Pyrenees,Wheaten Terrier,3
Havanese,Beagle,3
Havanese,English Setter,3
Havanese,Newfoundland,3
Havanese,Keeshond,3
Bengal,Shiba Inu,3
Bengal,Sphynx,3
Bengal,Ragdoll,3
Birman,Pug,3
Keeshond,American Bulldog,3
Pomeranian,Japanese Chin,3
Abyssinian,Shiba Inu,3
Wheaten Terrier,Shiba Inu,3
Pomeranian,Havanese,3
American Bulldog,Basset Hound,3
Yorkshire Terrier,Newfoundland,3
Yorkshire Terrier,Japanese Chin,3
Yorkshire Terrier,Saint Bernard,3
Yorkshire Terrier,Boxer,3
Yorkshire Terrier,American Bulldog,2
Wheaten Terrier,Siamese,2
Yorkshire Terrier,Ragdoll,2
Yorkshire Terrier,Pomeranian,2
American Bulldog,Birman,2
American Bulldog,American Pit Bull Terrier,2
British Shorthair,Samoyed,2
Wheaten Terrier,Samoyed,2
American Bulldog,Pomeranian,2
American Bulldog,Newfoundland,2
American Bulldog,English Cocker Spaniel,2
American Bulldog,Bombay,2
Pomeranian,Miniature Pinscher,2
Pug,Maine Coon,2
Pug,Keeshond,2
Pug,Beagle,2
Havanese,Maine Coon,2
Japanese Chin,Persian,2
